pontoId,lat,lon,lat_pred,lon_pred,erro_loc
1283,-8.070611,-34.896862,-8.07,-34.896221,97.7662390934
1104,-8.071577,-34.892117,-8.070823,-34.89204,83.8203073877
178,-8.076507,-34.899704,-8.076993,-34.899521,57.4098788982
2544,-8.065085,-34.885742,-8.065873,-34.888149,279.259927866
2137,-8.067663,-34.890396,-8.066786,-34.889824,115.683864865
1085,-8.071756,-34.89217,-8.072149,-34.892288,45.3686219279
1560,-8.06966,-34.890625,-8.068571,-34.891151,133.667764807
1730,-8.069236,-34.89135,-8.068456,-34.889595,211.807397631
371,-8.0756,-34.893547,-8.075505,-34.893055,55.2380831844
1966,-8.068594,-34.898624,-8.068507,-34.898907,32.6438655876
938,-8.072496,-34.89674,-8.069905,-34.896305,290.538361123
1600,-8.06957,-34.890755,-8.069586,-34.890732,3.09165361662
2941,-8.059775,-34.906284,-8.062226,-34.8881,2022.61159832
975,-8.072412,-34.892193,-8.07218,-34.892086,28.2390882433
2879,-8.06187,-34.901951,-8.065239,-34.886181,1777.75117152
2579,-8.06484,-34.893227,-8.065216,-34.901371,898.641125206
2534,-8.065175,-34.893002,-8.06489,-34.893192,37.8432119115
2338,-8.066161,-34.893513,-8.067786,-34.892822,195.192280708
2372,-8.065868,-34.893612,-8.067219,-34.894024,156.164286007
686,-8.073659,-34.893925,-8.073894,-34.893867,26.7648149678
2259,-8.066758,-34.89563,-8.066609,-34.895313,38.6322980092
1420,-8.070049,-34.893997,-8.069822,-34.894421,53.0514087757
2660,-8.064007,-34.894501,-8.064687,-34.894222,81.2502100827
590,-8.074231,-34.900223,-8.074113,-34.899719,57.0648302615
2051,-8.06833,-34.889885,-8.068241,-34.890022,18.0255410175
1981,-8.068574,-34.891171,-8.070148,-34.889725,236.022806001
125,-8.076917,-34.899548,-8.077133,-34.899448,26.3090049972
283,-8.0761,-34.899815,-8.076687,-34.899635,67.8839514454
2591,-8.064696,-34.885094,-8.071966,-34.897266,1564.13359181
1428,-8.070016,-34.896091,-8.067466,-34.893505,400.978629884
2328,-8.066243,-34.896896,-8.066569,-34.896854,36.3503445337
1631,-8.069493,-34.890995,-8.069568,-34.890842,18.7938454471
2423,-8.0658,-34.892345,-8.06582,-34.892277,7.81490038258
54,-8.077358,-34.898819,-8.077478,-34.899029,26.6815229101
2236,-8.066881,-34.892612,-8.06489,-34.893192,229.289832589
1778,-8.069116,-34.88829,-8.065347,-34.886486,461.836312027
819,-8.072894,-34.895462,-8.072911,-34.895523,6.98156476251
1808,-8.069018,-34.895882,-8.068697,-34.89629,57.2957157334
2313,-8.066355,-34.893158,-8.06714,-34.894188,142.922650362
2646,-8.064113,-34.893726,-8.064479,-34.893478,48.8440591312
20,-8.077503,-34.899101,-8.077478,-34.899029,8.40386588711
2392,-8.065823,-34.891319,-8.065825,-34.891384,7.16807299959
776,-8.07307,-34.896362,-8.072233,-34.896744,101.695074177
1663,-8.069399,-34.891121,-8.070015,-34.890034,137.828575958
293,-8.076039,-34.89455,-8.07615,-34.894905,41.0096212281
1351,-8.070369,-34.897221,-8.070422,-34.897129,11.7128471727
2034,-8.068439,-34.88966,-8.068613,-34.889328,41.3459589093
2294,-8.066517,-34.889645,-8.066604,-34.889706,11.7383569295
899,-8.072584,-34.896366,-8.072007,-34.89716,108.312370429
2084,-8.068077,-34.890667,-8.069008,-34.891277,122.974086345
2503,-8.065443,-34.889519,-8.065789,-34.890495,114.18318736
1862,-8.068857,-34.889641,-8.068878,-34.889618,3.43819335987
177,-8.076508,-34.896191,-8.076654,-34.896637,51.7432357177
546,-8.074484,-34.890213,-8.07425,-34.890255,26.2903025505
512,-8.074667,-34.900291,-8.074674,-34.900249,4.69365798239
1842,-8.068908,-34.900112,-8.069799,-34.894489,627.577444027
2280,-8.06663,-34.901073,-8.064937,-34.893158,892.30131472
1192,-8.070946,-34.891785,-8.070877,-34.891769,7.83227077908
1639,-8.069473,-34.897377,-8.072733,-34.896034,389.749644954
1514,-8.069796,-34.897827,-8.070385,-34.897194,95.4541983636
637,-8.073983,-34.900448,-8.072648,-34.900661,149.500867859
581,-8.074279,-34.890247,-8.07425,-34.890255,3.32629694612
513,-8.074666,-34.890381,-8.074599,-34.89019,22.3186042336
2518,-8.065325,-34.886417,-8.065553,-34.887043,73.4643765703
2192,-8.067104,-34.892494,-8.066935,-34.892582,21.057790769
1297,-8.07056,-34.893028,-8.070443,-34.893242,26.90409881
960,-8.072458,-34.892948,-8.073777,-34.893894,179.311053465
1160,-8.071154,-34.892006,-8.071398,-34.892067,27.8104840525
1908,-8.068729,-34.89735,-8.066952,-34.896137,237.697823346
542,-8.074497,-34.890209,-8.074463,-34.890217,3.86227632055
932,-8.072514,-34.896736,-8.068977,-34.897396,397.885652915
